cluster,id,local,old_nombre,new_nombre,old_precio_venta,new_precio_venta,old_precio_costo,new_precio_costo,old_categoria,new_categoria,old_medida,new_medida,old_estado,new_estado,old_color,new_color,old_material,new_material,old_fabricante,new_fabricante,old_codigo,new_codigo,old_descripcion,new_descripcion,is_combo
61,252,Longchamps,lavarropa redondo,lavarropa redondo,205000.00,205000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,blanco,plastico,plastico,caddy,caddy,,,,,0
61,642,Estacion,lavarropa redondo,lavarropa redondo,205000.00,205000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,blanco,blanco,plastico,plastico,caddy,caddy,,,,,0
62,242,Longchamps,lavarropa semi automatico,lavarropa semi automatico,315000.00,330000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,blanco,plastico,plastico,,dream,,,,,0
62,643,Estacion,lavarropas semi automatico,lavarropa semi automatico,315000.00,330000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,blanco,blanco,,plastico,,dream,,,,,0
62,664,Vidriera,lavarropa semi automatico,lavarropa semi automatico,330000.00,330000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,blanco,blanco,,plastico,dream,dream,,,,,0
63,253,Longchamps,secarropa 6kg,secarropa 6kg,230000.00,242000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,acero,acero,caddy,caddy,,,,,0
63,552,Estacion,secarropa 6kg,secarropa 6kg,242000.00,242000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,acero,acero,caddy,caddy,,,,,0
75,316,Vidriera,reposeras 5 posiciones,reposeras 5 posiciones,42000.00,42000.0,0.00,0.0,jardin,jardin,,,Nuevo,Nuevo,,,caño,caño,,,,,,,0
75,33,Estacion,reposera 5 posiciones,reposeras 5 posiciones,42000.00,42000.0,0.00,0.0,jardin,jardin,,,Nuevo,Nuevo,,,,caño,,,,,,,0
94,439,Estacion,planchita botanicals,planchita botanicals,109000.00,109000.0,0.00,0.0,cuidado personal,cuidado personal,,,Nuevo,Nuevo,,,,,remington,remington,S32A,S32A,,,0
94,414,Vidriera,planchita botanicals,planchita botanicals,109000.00,109000.0,0.00,0.0,cuidado personal,cuidado personal,,,Nuevo,Nuevo,,,,,remington,remington,,S32A,,,0
101,386,Vidriera,batidora manual vuelty,batidora manual vuelty,65000.00,65000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,negro,negro,,,liliana,liliana,,AB101,,,0
101,542,Estacion,batidora manual vuelty,batidora manual vuelty,65000.00,65000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,negro,,,liliana,liliana,AB101,AB101,,,0
110,397,Vidriera,pava electrica,pava electrica,19000.00,19000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,acero,acero,,acero,,star,,,,,0
110,704,Longchamps,pava electrica,pava electrica,19000.00,19000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,acero,acero,acero,star,star,,,,,0
116,727,Longchamps,bicicleta niño,bicicleta niño,118000.00,118000.0,0.00,0.0,infantil,infantil,"Rodado 12""","Rodado 12""",Nuevo,Nuevo,azul,azul,caño,caño,aventura,aventura,,,,,0
116,513,Vidriera,bicicleta niño,bicicleta niño,118000.00,118000.0,0.00,0.0,infantil,infantil,"Rodado 12""","Rodado 12""",Nuevo,Nuevo,azul,azul,,caño,aventura,aventura,,,,,0
119,421,Vidriera,bordeadora electrica,bordeadora electrica,85000.00,85000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,rojo,rojo,,,omaha,omaha,,bme-550,,,0
119,731,Estacion,bordeadora electrica,bordeadora electrica,85000.00,85000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,rojo,rojo,,,omaha,omaha,bme-550,bme-550,,,0
125,728,Vidriera,bordeadore electrica master,bordeadore electrica master,92000.00,92000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,verde,verde,,,trapp,trapp,,,,,0
125,794,Longchamps,bordiadora electrica master,bordeadore electrica master,92000.00,92000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,verde,verde,,,trapp,trapp,,,,,0
128,487,Longchamps,placard millenium 22,placard millenium 22,158000.00,409000.0,0.00,0.0,dormitorio,dormitorio,,,Nuevo,Nuevo,bambu,bambu,melamina,melamina,mosconi,mosconi,,,,,0
128,202,Longchamps,placard millenium 24,placard millenium 22,302000.00,409000.0,0.00,0.0,dormitorio,dormitorio,,,Nuevo,Nuevo,bambu,bambu,melamina,melamina,mosconi,mosconi,,,,,0
128,486,Longchamps,placard millenium 23,placard millenium 22,222100.00,409000.0,0.00,0.0,dormitorio,dormitorio,,,Nuevo,Nuevo,bambu,bambu,melamina,melamina,mosconi,mosconi,,,,,0
128,491,Longchamps,placard millenium 26,placard millenium 22,409000.00,409000.0,0.00,0.0,dormitorio,dormitorio,,,Nuevo,Nuevo,bambu,bambu,melamina,melamina,mosconi,mosconi,,,,,0
131,729,Estacion,taladro percutor,taladro percutor,100000.00,100000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,rojo,rojo,,,omaha,omaha,tbat-20,tbat-20,,,0
131,419,Vidriera,taladro percutor,taladro percutor,100000.00,100000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,rojo,rojo,,,omaha,omaha,,tbat-20,,,0
145,598,Longchamps,conjunto g.jackard c/pillow,conjunto g.jackard c/pillow,605000.00,605000.0,0.00,0.0,dormitorio,dormitorio,2plazas 1/2,2plazas 1/2,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,1
145,596,Longchamps,conjunto g.jackard s/pillow,conjunto g.jackard c/pillow,540000.00,605000.0,0.00,0.0,dormitorio,dormitorio,2 plazas 1/2,2plazas 1/2,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,1
149,730,Estacion,bolsa de herramienta,bolsa de herramienta,60000.00,60000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,azul,azul,,,wadfow,wadfow,28pcs/set,28pcs/set,,,0
149,662,Vidriera,bolso de herramientas,bolsa de herramienta,60000.00,60000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,azul,azul,,,wadfow,wadfow,,28pcs/set,,,0
156,601,Longchamps,conjunto super lujo,conjunto super lujo,440000.00,440000.0,0.00,0.0,dormitorio,dormitorio,2 plazas 1/2,2 plazas 1/2,Nuevo,Nuevo,,,,,taurus,taurus,,,,,1
156,602,Vidriera,conjunto super lujo,conjunto super lujo,440000.00,440000.0,0.00,0.0,dormitorio,dormitorio,2 plazas 1/2,2 plazas 1/2,Nuevo,Nuevo,,,,,taurus,taurus,,,,,1
160,608,Longchamps,conjunto luxor,conjunto luxor,618000.00,618000.0,0.00,0.0,dormitorio,dormitorio,2 plazas 1/2,2 plazas 1/2,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,1
160,609,Vidriera,conjunto luxor,conjunto luxor,618000.00,618000.0,0.00,0.0,dormitorio,dormitorio,2 plazas 1/2,2 plazas 1/2,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,1
161,611,Longchamps,conjunto silver,conjunto silver,385000.00,385000.0,0.00,0.0,dormitorio,dormitorio,2 plazas 1/2,2 plazas 1/2,Nuevo,Nuevo,,,,,taurus,taurus,,,,,1
161,612,Vidriera,conjunto silver,conjunto silver,385000.00,385000.0,0.00,0.0,dormitorio,dormitorio,2 plazas 1/2,2 plazas 1/2,Nuevo,Nuevo,,,,,taurus,taurus,,,,,1
162,615,Longchamps,conjunto flow,conjunto flow,240000.00,240000.0,0.00,0.0,dormitorio,dormitorio,1plaza,1plaza,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,1
162,616,Vidriera,conjunto flow,conjunto flow,240000.00,240000.0,0.00,0.0,dormitorio,dormitorio,1plaza,1plaza,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,1
164,613,Longchamps,conjunto equis,conjunto equis,374000.00,374000.0,0.00,0.0,dormitorio,dormitorio,1plaza,1plaza,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,1
164,614,Vidriera,conjunto equis,conjunto equis,374000.00,374000.0,0.00,0.0,dormitorio,dormitorio,1plaza,1plaza,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,1
184,2,Estacion,despensero,despensero,109500.00,109500.0,0.00,0.0,cocina,cocina,80cm,80cm,Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
184,161,Longchamps,despensero,despensero,109500.00,109500.0,0.00,0.0,cocina,cocina,80cm,80cm,Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
184,362,Vidriera,despensero,despensero,109500.00,109500.0,0.00,0.0,cocina,cocina,80cm,80cm,Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
185,56,Estacion,cajonera 6 cajones,cajonera 6 cajones,59000.00,65000.0,0.00,0.0,dormitorio,dormitorio,,,Nuevo,Nuevo,,,pino,pino,ramon,ramon,,,,,0
